rank,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,asset_count,map_count,mod_count
1,ahkimn,Yukina-,https://github.com/ahkimn,2404,1402,22,21,1
2,devenperez,devenperez,https://github.com/devenperez,2297,1887,8,8,0
3,stefanorigano,stefanorigano,https://github.com/stefanorigano,1431,1431,1,0,1
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,1377,1335,5,4,1
5,crumpetime,crumpetime,https://github.com/crumpetime,1062,856,6,5,1
6,rslurry,rslurry,https://github.com/rslurry,1058,658,16,16,0
7,Kronifer,Kronifer,https://github.com/Kronifer,833,640,4,4,0
8,Maximilian284,Maximilian284,https://github.com/Maximilian284,783,489,18,18,0
9,DanielD1909,DanielD1909,https://github.com/DanielD1909,599,437,2,1,1
10,BarKuperman,BarKuperman,https://github.com/BarKuperman,582,440,3,2,1
11,Gio1112,Gio1112,https://github.com/Gio1112,522,522,1,0,1
12,ryandicicco,ryandicicco,https://github.com/ryandicicco,419,349,5,5,0
13,soccerjonj,soccerjonj,https://github.com/soccerjonj,363,36,6,6,0
14,nzh0172,nzh0172,https://github.com/nzh0172,302,263,2,1,1
15,TransitCore,TransitCore,https://github.com/TransitCore,162,162,1,0,1
16,WillBarouch,WillBarouch,https://github.com/WillBarouch,155,137,1,1,0
17,PSWBSF,PSWBSF,https://github.com/PSWBSF,35,32,3,3,0
18,metatablestudios,metatablestudios,https://github.com/metatablestudios,6,6,1,1,0
19,Bobby-047,Bobby-047,https://github.com/Bobby-047,0,0,1,0,1
