rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,1431,1431,snapshot_2026_03_31.json
2,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,936,936,snapshot_2026_03_31.json
3,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,617,588,snapshot_2026_03_31.json
4,mod,citymapper,Citymapper,Gio1112,Gio1112,https://github.com/Gio1112,522,522,snapshot_2026_03_31.json
5,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,507,401,snapshot_2026_03_31.json
6,mod,distance-circles,Station Catchment Viewer,crumpetime,crumpetime,https://github.com/crumpetime,444,444,snapshot_2026_03_31.json
7,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,437,400,snapshot_2026_03_31.json
8,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://github.com/ahkimn,427,427,snapshot_2026_03_31.json
9,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,389,389,snapshot_2026_03_31.json
10,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,354,307,snapshot_2026_03_31.json
11,map,mfn-hong-kong,Hong Kong,crumpetime,crumpetime,https://github.com/crumpetime,322,296,snapshot_2026_03_31.json
12,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,275,225,snapshot_2026_03_31.json
13,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://github.com/ahkimn,274,224,snapshot_2026_03_31.json
14,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,261,237,snapshot_2026_03_31.json
15,map,greater-los-angeles,Greater Los Angeles,rslurry,rslurry,https://github.com/rslurry,257,243,snapshot_2026_03_31.json
16,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://github.com/ahkimn,243,243,snapshot_2026_03_31.json
17,map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,239,175,snapshot_2026_03_31.json
18,mod,any-money,anyMoney,nzh0172,nzh0172,https://github.com/nzh0172,236,236,snapshot_2026_03_31.json
19,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,201,148,snapshot_2026_03_31.json
20,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,198,138,snapshot_2026_03_31.json
21,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,197,197,snapshot_2026_03_31.json
22,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,179,179,snapshot_2026_03_31.json
23,map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,173,110,snapshot_2026_03_31.json
24,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://github.com/ahkimn,165,100,snapshot_2026_03_31.json
25,map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,164,107,snapshot_2026_03_31.json
26,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,162,162,snapshot_2026_03_31.json
27,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,155,155,snapshot_2026_03_31.json
