listing_type,id,name,author,author_alias,attribution_link,project_key,project_name,total_downloads,2026_03_11,2026_03_12,2026_03_13,2026_03_14,2026_03_15,2026_03_16,2026_03_17,2026_03_18,2026_03_19,2026_03_20,2026_03_21,2026_03_22,2026_03_23,2026_03_24,2026_03_25,2026_03_26,2026_03_27,2026_03_28,2026_03_29,2026_03_30,2026_03_31
mod,advanced-analytics,Advanced Analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,stefanorigano/advanced_analytics,advanced_analytics,1431,233,42,63,51,33,34,50,32,27,41,37,34,34,1,43,39,65,65,82,252,173
mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,valdotorium/valdotoriums_trains,Valdotoriums_Trains,936,0,0,0,0,0,13,15,11,6,27,22,21,33,31,44,70,93,91,103,175,181
map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,617,297,10,19,9,14,0,2,18,11,17,21,8,16,0,14,14,21,18,4,104,0
mod,citymapper,Citymapper,Gio1112,Gio1112,https://github.com/Gio1112,gio1112/subway-builder-citymapper,subway-builder-citymapper,522,0,0,0,0,0,4,14,12,4,17,27,23,20,26,15,31,45,50,47,95,92
mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,danield1909/dantrains,danTrains,507,0,0,0,4,20,17,15,24,22,16,14,13,7,0,0,12,64,31,20,228,0
mod,distance-circles,Station Catchment Viewer,crumpetime,crumpetime,https://github.com/crumpetime,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,444,0,0,0,2,33,18,23,14,11,21,25,26,26,3,22,20,21,23,35,102,19
map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,437,227,9,15,6,10,0,0,8,6,7,10,0,6,1,13,9,8,9,0,93,0
mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-regions,subwaybuilder-regions,427,103,20,24,12,11,11,12,5,14,16,12,15,11,4,21,12,17,18,15,65,9
mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,389,88,13,28,13,13,5,14,4,12,23,22,8,9,5,13,8,15,14,12,65,5
map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,354,180,8,7,4,6,0,0,0,0,7,9,4,4,0,9,4,8,9,0,95,0
map,mfn-hong-kong,Hong Kong,crumpetime,crumpetime,https://github.com/crumpetime,crumpetime/sb-maps-hkg,sb-maps-hkg,322,74,9,24,11,3,0,0,2,5,7,15,10,7,0,6,11,22,11,13,92,0
map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,kronifer/sb-zurich-map,sb-zurich-map,275,102,9,9,0,0,0,0,0,0,0,0,0,0,0,0,5,16,11,10,113,0
map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,274,73,10,7,9,9,10,0,0,2,8,7,2,5,0,0,0,8,6,0,118,0
map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,ryandicicco/subway-builder-maps,Subway-Builder-Maps,261,63,8,14,12,14,1,0,2,0,5,6,0,1,0,2,7,12,6,0,108,0
map,greater-los-angeles,Greater Los Angeles,rslurry,rslurry,https://github.com/rslurry,rslurry/subwaybuilder-maps,subwaybuilder-maps,257,0,0,0,6,17,9,15,1,7,22,9,4,11,5,12,16,19,17,21,66,0
map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,243,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,20,47,32,17,79,34
map,dublin,Dublin,Kronifer,Kronifer,https://github.com/Kronifer,kronifer/sb-dublin-map,sb-dublin-map,239,91,8,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,109,0
mod,any-money,anyMoney,nzh0172,nzh0172,https://github.com/nzh0172,nzh0172/sb-anymoney,sb-anymoney,236,0,0,0,0,0,0,0,0,0,2,9,0,11,5,9,16,33,29,24,75,23
map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,201,122,8,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,198,128,6,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,38,32,31,36
map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,valdotorium/railyard-maps-2,Railyard-Maps-2,179,0,0,0,0,0,0,1,13,8,7,8,0,6,0,1,13,15,16,11,69,11
map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,173,112,5,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://github.com/ahkimn,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,165,43,6,4,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,164,106,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
