rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,181,181,936,936,755,755,snapshot_2026_03_31.json,snapshot_2026_03_30.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,173,173,1431,1431,1258,1258,snapshot_2026_03_31.json,snapshot_2026_03_30.json
3,mod,citymapper,Citymapper,Gio1112,Gio1112,https://github.com/Gio1112,92,92,522,522,430,430,snapshot_2026_03_31.json,snapshot_2026_03_30.json
4,map,glasgow-edinburgh,Glasgow-Edinburgh,Kronifer,Kronifer,https://github.com/Kronifer,36,36,197,197,161,161,snapshot_2026_03_31.json,snapshot_2026_03_30.json
5,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://github.com/ahkimn,34,34,243,243,209,209,snapshot_2026_03_31.json,snapshot_2026_03_30.json
6,map,barcelona,Barcelona,Maximilian284,Maximilian284,https://github.com/Maximilian284,28,28,28,28,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
7,mod,any-money,anyMoney,nzh0172,nzh0172,https://github.com/nzh0172,23,23,236,236,213,213,snapshot_2026_03_31.json,snapshot_2026_03_30.json
8,map,madrid,Madrid,Maximilian284,Maximilian284,https://github.com/Maximilian284,23,23,23,23,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
9,mod,cinematic-camera,Cinematic Camera,TransitCore,TransitCore,https://github.com/TransitCore,20,20,162,162,142,142,snapshot_2026_03_31.json,snapshot_2026_03_30.json
10,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://github.com/ahkimn,20,20,71,71,51,51,snapshot_2026_03_31.json,snapshot_2026_03_30.json
11,mod,distance-circles,Station Catchment Viewer,crumpetime,crumpetime,https://github.com/crumpetime,19,19,444,444,425,425,snapshot_2026_03_31.json,snapshot_2026_03_30.json
12,map,valencia,Valencia,Maximilian284,Maximilian284,https://github.com/Maximilian284,16,16,16,16,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
13,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,11,11,179,179,168,168,snapshot_2026_03_31.json,snapshot_2026_03_30.json
14,map,bilbao,Bilbao,Maximilian284,Maximilian284,https://github.com/Maximilian284,11,11,11,11,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
15,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://github.com/ahkimn,9,9,427,427,418,418,snapshot_2026_03_31.json,snapshot_2026_03_30.json
16,map,dayton-oh,Dayton,PSWBSF,PSWBSF,https://github.com/PSWBSF,7,7,7,7,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
17,map,wilmington-nc,"Wilmington, NC",PSWBSF,PSWBSF,https://github.com/PSWBSF,7,7,7,7,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
18,map,bucharest-medium,Bucharest,metatablestudios,metatablestudios,https://github.com/metatablestudios,6,6,6,6,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
19,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,5,5,389,389,384,384,snapshot_2026_03_31.json,snapshot_2026_03_30.json
20,map,milan,Milan,Maximilian284,Maximilian284,https://github.com/Maximilian284,2,2,141,141,139,139,snapshot_2026_03_31.json,snapshot_2026_03_30.json
21,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,2,2,2,2,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
22,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,1,155,155,154,154,snapshot_2026_03_31.json,snapshot_2026_03_30.json
23,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,0,-29,617,588,617,617,snapshot_2026_03_31.json,snapshot_2026_03_30.json
24,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,0,-106,507,401,507,507,snapshot_2026_03_31.json,snapshot_2026_03_30.json
25,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,0,-37,437,400,437,437,snapshot_2026_03_31.json,snapshot_2026_03_30.json
26,map,vancouver,Vancouver,devenperez,devenperez,https://github.com/devenperez,0,-47,354,307,354,354,snapshot_2026_03_31.json,snapshot_2026_03_30.json
27,map,mfn-hong-kong,Hong Kong,crumpetime,crumpetime,https://github.com/crumpetime,0,-26,322,296,322,322,snapshot_2026_03_31.json,snapshot_2026_03_30.json
28,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,0,-50,275,225,275,275,snapshot_2026_03_31.json,snapshot_2026_03_30.json
