rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,181,181,936,936,755,755,snapshot_2026_03_31.json,snapshot_2026_03_30.json
2,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,stefanorigano,https://github.com/stefanorigano,1,173,173,1431,1431,1258,1258,snapshot_2026_03_31.json,snapshot_2026_03_30.json
3,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,Gio1112,https://github.com/Gio1112,1,92,92,522,522,430,430,snapshot_2026_03_31.json,snapshot_2026_03_30.json
4,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,Maximilian284,https://github.com/Maximilian284,4,78,78,78,78,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
5,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://github.com/ahkimn,21,54,-948,1977,975,1923,1923,snapshot_2026_03_31.json,snapshot_2026_03_30.json
6,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,36,36,197,197,161,161,snapshot_2026_03_31.json,snapshot_2026_03_30.json
7,nzh0172/sb-anymoney,sb-anymoney,nzh0172,nzh0172,https://github.com/nzh0172,1,23,23,236,236,213,213,snapshot_2026_03_31.json,snapshot_2026_03_30.json
8,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,20,20,162,162,142,142,snapshot_2026_03_31.json,snapshot_2026_03_30.json
9,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,crumpetime,https://github.com/crumpetime,1,19,19,444,444,425,425,snapshot_2026_03_31.json,snapshot_2026_03_30.json
10,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,12,-30,441,399,429,429,snapshot_2026_03_31.json,snapshot_2026_03_30.json
11,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://github.com/ahkimn,1,9,9,427,427,418,418,snapshot_2026_03_31.json,snapshot_2026_03_30.json
12,pswbsf/dayton-oh,dayton-oh,PSWBSF,PSWBSF,https://github.com/PSWBSF,1,7,7,7,7,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
13,pswbsf/wilmington-nc,wilmington-nc,PSWBSF,PSWBSF,https://github.com/PSWBSF,1,7,7,7,7,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
14,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,6,6,6,6,0,0,snapshot_2026_03_31.json,snapshot_2026_03_30.json
15,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,5,5,389,389,384,384,snapshot_2026_03_31.json,snapshot_2026_03_30.json
16,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,Maximilian284,https://github.com/Maximilian284,14,2,-292,705,411,703,703,snapshot_2026_03_31.json,snapshot_2026_03_30.json
17,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,5,2,-68,419,349,417,417,snapshot_2026_03_31.json,snapshot_2026_03_30.json
18,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,0,-410,2297,1887,2297,2297,snapshot_2026_03_31.json,snapshot_2026_03_30.json
19,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,rslurry,https://github.com/rslurry,16,0,-400,1058,658,1058,1058,snapshot_2026_03_31.json,snapshot_2026_03_30.json
20,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,0,-106,507,401,507,507,snapshot_2026_03_31.json,snapshot_2026_03_30.json
21,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,crumpetime,https://github.com/crumpetime,1,0,-26,322,296,322,322,snapshot_2026_03_31.json,snapshot_2026_03_30.json
22,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,0,-50,275,225,275,275,snapshot_2026_03_31.json,snapshot_2026_03_30.json
23,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,0,-64,239,175,239,239,snapshot_2026_03_31.json,snapshot_2026_03_30.json
24,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,0,-18,155,137,155,155,snapshot_2026_03_31.json,snapshot_2026_03_30.json
25,kronifer/sb-waterloo-map,sb-waterloo-map,Kronifer,Kronifer,https://github.com/Kronifer,1,0,-79,122,43,122,122,snapshot_2026_03_31.json,snapshot_2026_03_30.json
